created,text,retweetCount
2017-06-29 04:48:21,RT @SwachhPolitics: Demonetisation: How PM Modi's 'surgical strike' on black money turned out to be a disaster https://t.co/oMiooODD4X via…,4
2017-06-29 04:48:17,RT @SreenivasanJain: More on the cash crunch in Maharashtra Coop banks: @IndianExpress traces a precipitous drop in crop loans. https://t.c…,13
2017-06-29 04:46:12,RT @sanjayuvacha: Didn't you get the GPS chip #DeMonetisation award? https://t.co/avo9sms7tU,146
2017-06-29 04:45:45,RT @sanjayuvacha: Didn't you get the GPS chip #DeMonetisation award? https://t.co/avo9sms7tU,146
2017-06-29 04:45:04,RT @sanjayuvacha: Didn't you get the GPS chip #DeMonetisation award? https://t.co/avo9sms7tU,146
2017-06-29 04:44:35,RT @SreenivasanJain: More on the cash crunch in Maharashtra Coop banks: @IndianExpress traces a precipitous drop in crop loans. https://t.c…,13
2017-06-29 04:43:57,"#Indian #Government must aware the benefits of #GST before its apply.
People are not getting this like #DeMonetisation @narendramodi",0
2017-06-29 04:43:54,@SiddharthAulia Instead of Demonetisation and implementing  GST the government should look for the ways of removing… https://t.co/c06Fa3MCPR,0
2017-06-29 04:43:21,"RT @EconomicTimes: Deeply concerned about #GST implementation. After demonetisation, this unnecessary disastrous hurry is another epic blun…",10
2017-06-29 04:43:07,RT @sanjayuvacha: But wasn't  #DeMonetisation about curbing stone throwing and terrorism? https://t.co/bdwNWBYtRo,15
2017-06-29 04:43:01,RT @payami_: Demonetisation has hardly effected the Kashmir valley and the situation is from bad to worse. Sanghis only fooled them self. h…,8
2017-06-29 04:42:43,RT @sanjayuvacha: Didn't you get the GPS chip #DeMonetisation award? https://t.co/avo9sms7tU,146
2017-06-29 04:42:35,"RT @raaisaab: #DeMonetisationDisaster | #DemonetizationDisaster | #DeMonetisation
OR
How NOT To Do Things https://t.co/SHO8gaxG9S",23
2017-06-29 04:42:16,"RT @raaisaab: #DeMonetisationDisaster | #DemonetizationDisaster | #DeMonetisation
OR
How NOT To Do Things https://t.co/KqOCdESRBV",12
2017-06-29 04:41:56,RT @SreenivasanJain: More on the cash crunch in Maharashtra Coop banks: @IndianExpress traces a precipitous drop in crop loans. https://t.c…,13
2017-06-29 04:41:21,RT @Modinamjapna: @narendramodi @NischelBaxi But why did I lose my money. Where are my Rs 15000...? #DeMonetisation,1
2017-06-29 04:40:50,"RT @IBJA1919: #Demonetisation hits #gold #smuggling, cases down by 40%
#IBJA
https://t.co/6nXBGOhztR https://t.co/O0m9twdvbG",1
2017-06-29 04:40:42,@boseudayan Attending Iftaar is far more rewarding than attending GST meet.Succumbed to demonetisation.Will succumb… https://t.co/6X8pZjXn2g,0
2017-06-29 04:40:28,I added a video to a @YouTube playlist https://t.co/FjvUKjBEbq DEMONETISATION - A Revolutionary step towards growth,0
2017-06-29 04:40:16,"RT @raaisaab: #DeMonetisationDisaster | #DemonetizationDisaster | #DeMonetisation
OR
How NOT To Do Things https://t.co/KqOCdESRBV",12
2017-06-29 04:39:46,"RT @united_abhi: @RBI showcase new Printing of Rs 200 with various colours.🙄
#DeMonetisation #futureofwork #200 #WednesdayWisdom https://t.…",4
2017-06-29 04:38:34,RT @SwachhPolitics: Demonetisation: How PM Modi's 'surgical strike' on black money turned out to be a disaster https://t.co/oMiooODD4X via…,4
2017-06-29 04:37:20,Demonetisation: How PM Modi's 'surgical strike' on black money turned out to be a disaster https://t.co/oMiooODD4X via @dailyo_,4
2017-06-29 04:37:13,RT @SreenivasanJain: More on the cash crunch in Maharashtra Coop banks: @IndianExpress traces a precipitous drop in crop loans. https://t.c…,13
2017-06-29 04:37:11,RT @SreenivasanJain: More on the cash crunch in Maharashtra Coop banks: @IndianExpress traces a precipitous drop in crop loans. https://t.c…,13
2017-06-29 04:36:30,"RT @SiddharthAulia: Demonetisation was good, but failed due to poor Governance. Idea of #GST is good, but it is going to fail because of co…",21
2017-06-29 04:36:30,RT @digvijaya_28: They have done it again. First Demonetisation without printing of New Notes and now GST without Tax Returns for the Tax p…,146
2017-06-29 04:35:14,"RT @RenukaJain6: 540 firms post profit for 10 straight quarters; 10 rise 1,000% in 2 years. Demonetisation critics?  Where r you ? https://…",12
2017-06-29 04:34:35,RT @SreenivasanJain: More on the cash crunch in Maharashtra Coop banks: @IndianExpress traces a precipitous drop in crop loans. https://t.c…,13
2017-06-29 04:33:33,"RT @united_abhi: @RBI showcase new Printing of Rs 200 with various colours.🙄
#DeMonetisation #futureofwork #200 #WednesdayWisdom https://t.…",4
2017-06-29 04:33:11,RT @SreenivasanJain: More on the cash crunch in Maharashtra Coop banks: @IndianExpress traces a precipitous drop in crop loans. https://t.c…,13
2017-06-29 04:33:11,"RT @IMMugdhaSingh: They are printing Rs 200 notes, and I have a feeling that, this time, they'll invalidate our 100 rupee note. #DeMonetisa…",5
2017-06-29 04:32:49,RT @SreenivasanJain: More on the cash crunch in Maharashtra Coop banks: @IndianExpress traces a precipitous drop in crop loans. https://t.c…,13
2017-06-29 04:32:44,"#GST will do the same to transparency , what #Demonetisation did to corruption
#getGSTready",0
2017-06-29 04:32:15,"RT @RenukaJain6: 540 firms post profit for 10 straight quarters; 10 rise 1,000% in 2 years. Demonetisation critics?  Where r you ? https://…",12
2017-06-29 04:32:11,RT @girishkuber: Demonetisation has cost us a lot. (Happy slowly everyone coming to this conclusion @LoksattaLive saying from day 1) https:…,7
